,category_id,category_name
0,569,Events & Listings
1,23,Performing Arts
2,47,Autos & Vehicles
3,815,Vehicle Brands
4,170,Vehicle Licensing & Registration
5,249,Health Insurance
6,71,Food & Drink
7,276,Restaurants
8,634,Doctors' Offices
9,250,Hospitals & Treatment Centers
10,168,Emergency Services
11,437,Mental Health
12,11,Home & Garden
13,29,Real Estate
14,96,Real Estate Agencies
15,18,Shopping
16,67,Travel
17,179,Hotels & Accommodations
18,5,Computers & Electronics
19,68,Apparel
20,78,Consumer Electronics
21,696,Luxury Goods
22,329,Business Services
23,95,Office Supplies
24,423,Bankruptcy
25,279,Credit & Lending
26,1160,Commercial Lending
27,813,College Financing
28,466,Home Financing
29,468,Auto Financing
30,46,Agriculture & Forestry
31,750,Forestry
32,747,Aquaculture
33,121,Grocery & Food Retailers
34,123,Tobacco Products
35,697,Footwear
36,1176,Printing & Publishing
37,1268,Fuel Economy & Gas Prices
38,288,Chemicals Industry
39,248,Pharmacy
40,30,Computer Hardware
41,287,Industrial Materials & Equipment
42,612,Entertainment Industry
43,13,Internet & Telecom
44,31,Programming
45,7,Finance
46,38,Insurance
47,969,Legal Services
48,477,Architecture
49,25,Advertising & Marketing
50,380,Veterinarians
51,1010,Travel Agencies & Services
52,726,Fire & Security Services
53,76,Government
54,74,Education
55,256,Medical Facilities & Services
56,508,Social Services
57,20,Sports
58,1199,Professional & Trade Associations
59,144,Unwanted Body & Facial Hair Removal
60,748,Agricultural Equipment
61,48,Construction & Maintenance
62,255,Pharmaceuticals & Biotech
63,50,Transportation & Logistics
64,664,Distribution & Logistics
65,60,Jobs
66,802,Developer Jobs
67,621,Food Production
68,1140,Boats & Watercraft
69,841,Retail Trade
70,289,Freight & Trucking
71,665,Maritime Transport
72,662,Aviation
73,354,Import & Export
74,666,Rail Transport
75,1150,Mail & Package Delivery
76,277,Alcoholic Beverages
77,650,Building Materials & Supplies
78,651,Civil Engineering
79,652,Construction Consulting & Contracting
80,158,Home Improvement
81,1143,Entertainment Media
82,70,Gifts & Special Event Items
83,271,Home Appliances
84,270,Home Furnishings
85,794,GPS & Navigation
86,233,Energy & Utilities
87,473,Vehicle Shopping
88,1339,Carpooling & Ridesharing
89,932,Sports Games
90,882,Animal Products & Services
91,94,Fitness
92,293,Weddings
93,205,Car Rental & Taxi Services
94,208,Tourist Destinations
95,1081,Timeshares & Vacation Properties
96,73,Mass Merchants & Department Stores
97,1188,Car Electronics
98,185,Fashion & Style
99,610,Trucks & SUVs
100,206,Cruises & Charters
101,1003,Luggage & Travel Accessories
102,918,Fast Food
103,355,Book Retailers
104,145,Spas & Beauty Services
105,894,Acting & Theater
106,960,Job Listings
107,961,Resumes & Portfolios
108,378,Apartments & Residential Rentals
109,465,Home Insurance
110,1164,Economy News
111,784,Business News
112,1209,World News
113,396,Politics
114,408,Newspapers
115,832,Flooring
116,952,Swimming Pools & Spas
117,1139,Investment Banking
118,107,Investing
119,903,Financial Planning
120,343,Data Management
121,77,Enterprise Technology
122,278,Accounting & Auditing
123,1300,CAD & CAM
124,730,Development Tools
125,341,Customer Relationship Management (CRM)
126,334,Corporate Events
127,314,Computer Security
128,718,Outsourcing
129,728,Computer Servers
130,1162,Consulting
131,53,Web Hosting & Domain Registration
132,342,Enterprise Resource Planning (ERP)
133,1159,Business Operations
134,1214,Commercial Vehicles
135,670,Agrochemicals
136,12,Business & Industrial
137,566,Textiles & Nonwovens
138,672,Coatings & Adhesives
139,673,Dyes & Pigments
140,49,Manufacturing
